output_vector_0,output_vector_1,output_vector_2,output_vector_3,output_vector_4,output_vector_5,output_vector_6,output_vector_7
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
80,81,82,83,90,91,92,93
84,85,86,87,94,95,96,97
88,89,90,91,98,99,0,0
0,1,2,3,10,11,12,13
1,2,3,4,11,12,13,14
2,3,4,5,12,13,14,15
3,4,5,6,13,14,15,16
4,5,6,7,14,15,16,17
5,6,7,8,15,16,17,18
6,7,8,9,16,17,18,19
10,11,12,13,20,21,22,23
11,12,13,14,21,22,23,24
12,13,14,15,22,23,24,25
13,14,15,16,23,24,25,26
14,15,16,17,24,25,26,27
15,16,17,18,25,26,27,28
16,17,18,19,26,27,28,29
20,21,22,23,30,31,32,33
21,22,23,24,31,32,33,34
22,23,24,25,32,33,34,35
23,24,25,26,33,34,35,36
24,25,26,27,34,35,36,37
25,26,27,28,35,36,37,38
26,27,28,29,36,37,38,39
30,31,32,33,40,41,42,43
31,32,33,34,41,42,43,44
32,33,34,35,42,43,44,45
33,34,35,36,43,44,45,46
34,35,36,37,44,45,46,47
35,36,37,38,45,46,47,48
36,37,38,39,46,47,48,49
40,41,42,43,50,51,52,53
41,42,43,44,51,52,53,54
42,43,44,45,52,53,54,55
43,44,45,46,53,54,55,56
44,45,46,47,54,55,56,57
45,46,47,48,55,56,57,58
46,47,48,49,56,57,58,59
50,51,52,53,60,61,62,63
51,52,53,54,61,62,63,64
52,53,54,55,62,63,64,65
53,54,55,56,63,64,65,66
54,55,56,57,64,65,66,67
55,56,57,58,65,66,67,68
56,57,58,59,66,67,68,69
60,61,62,63,70,71,72,73
61,62,63,64,71,72,73,74
62,63,64,65,72,73,74,75
63,64,65,66,73,74,75,76
64,65,66,67,74,75,76,77
65,66,67,68,75,76,77,78
66,67,68,69,76,77,78,79
70,71,72,73,80,81,82,83
71,72,73,74,81,82,83,84
72,73,74,75,82,83,84,85
73,74,75,76,83,84,85,86
74,75,76,77,84,85,86,87
75,76,77,78,85,86,87,88
76,77,78,79,86,87,88,89
80,81,82,83,90,91,92,93
81,82,83,84,91,92,93,94
82,83,84,85,92,93,94,95
83,84,85,86,93,94,95,96
84,85,86,87,94,95,96,97
85,86,87,88,95,96,97,98
86,87,88,89,96,97,98,99
0,10,20,30,40,50,60,70
1,11,21,31,41,51,61,71
2,12,22,32,42,52,62,72
3,13,23,33,43,53,63,73
4,14,24,34,44,54,64,74
5,15,25,35,45,55,65,75
6,16,26,36,46,56,66,76
7,17,27,37,47,57,67,77
8,18,28,38,48,58,68,78
9,19,29,39,49,59,69,79
10,20,30,40,50,60,70,80
11,21,31,41,51,61,71,81
12,22,32,42,52,62,72,82
13,23,33,43,53,63,73,83
14,24,34,44,54,64,74,84
15,25,35,45,55,65,75,85
16,26,36,46,56,66,76,86
17,27,37,47,57,67,77,87
18,28,38,48,58,68,78,88
19,29,39,49,59,69,79,89
20,30,40,50,60,70,80,90
21,31,41,51,61,71,81,91
22,32,42,52,62,72,82,92
23,33,43,53,63,73,83,93
24,34,44,54,64,74,84,94
25,35,45,55,65,75,85,95
26,36,46,56,66,76,86,96
27,37,47,57,67,77,87,97
28,38,48,58,68,78,88,98
29,39,49,59,69,79,89,99
0,11,22,33,44,55,66,77
1,12,23,34,45,56,67,78
2,13,24,35,46,57,68,79
10,21,32,43,54,65,76,87
11,22,33,44,55,66,77,88
12,23,34,45,56,67,78,89
20,31,42,53,64,75,86,97
21,32,43,54,65,76,87,98
22,33,44,55,66,77,88,99
0,0,0,0,0,0,0,0
1,10,0,0,10,0,0,0
2,11,20,0,11,0,0,0
3,12,21,30,12,30,0,0
4,13,22,31,40,31,0,0
5,14,23,32,41,50,50,0
6,15,24,33,42,51,60,0
7,16,25,34,43,52,61,70
8,17,26,35,44,53,62,71
9,18,27,36,45,54,63,72
10,0,0,10,0,0,0,10
11,20,0,11,0,0,0,11
12,21,30,12,30,0,0,12
13,22,31,40,31,0,0,13
14,23,32,41,50,50,0,14
15,24,33,42,51,60,0,15
16,25,34,43,52,61,70,16
17,26,35,44,53,62,71,80
18,27,36,45,54,63,72,81
19,28,37,46,55,64,73,82
20,0,0,0,0,0,0,0
21,30,0,30,0,0,0,30
22,31,40,31,0,0,0,31
23,32,41,50,50,0,0,32
24,33,42,51,60,0,0,33
25,34,43,52,61,70,0,34
26,35,44,53,62,71,80,35
27,36,45,54,63,72,81,90
28,37,46,55,64,73,82,91
29,38,47,56,65,74,83,92
