index_i,index_j,acc_type,outVector_0,outVector_1,outVector_2,outVector_3,outVector_4,outVector_5,outVector_6,outVector_7
0,0,0,0,1,2,3,65536,65537,65538,65539
0,4,0,4,5,6,7,65540,65541,65542,65543
0,8,0,8,9,10,11,65544,65545,65546,65547
2,0,0,131072,131073,131074,131075,196608,196609,196610,196611
2,4,0,131076,131077,131078,131079,196612,196613,196614,196615
2,8,0,131080,131081,131082,131083,196616,196617,196618,196619
4,0,0,262144,262145,262146,262147,327680,327681,327682,327683
4,4,0,262148,262149,262150,262151,327684,327685,327686,327687
4,8,0,262152,262153,262154,262155,327688,327689,327690,327691
6,0,0,393216,393217,393218,393219,458752,458753,458754,458755
6,4,0,393220,393221,393222,393223,458756,458757,458758,458759
6,8,0,393224,393225,393226,393227,458760,458761,458762,458763
8,0,0,524288,524289,524290,524291,589824,589825,589826,589827
8,4,0,524292,524293,524294,524295,589828,589829,589830,589831
8,8,0,524296,524297,524298,524299,589832,589833,589834,589835
8,0,0,524288,524289,524290,524291,589824,589825,589826,589827
8,4,0,524292,524293,524294,524295,589828,589829,589830,589831
8,8,0,524296,524297,524298,524299,589832,589833,589834,589835
0,0,0,0,1,2,3,65536,65537,65538,65539
0,1,0,1,2,3,4,65537,65538,65539,65540
0,2,0,2,3,4,5,65538,65539,65540,65541
0,3,0,3,4,5,6,65539,65540,65541,65542
0,4,0,4,5,6,7,65540,65541,65542,65543
0,5,0,5,6,7,8,65541,65542,65543,65544
0,6,0,6,7,8,9,65542,65543,65544,65545
1,0,0,65536,65537,65538,65539,131072,131073,131074,131075
1,1,0,65537,65538,65539,65540,131073,131074,131075,131076
1,2,0,65538,65539,65540,65541,131074,131075,131076,131077
1,3,0,65539,65540,65541,65542,131075,131076,131077,131078
1,4,0,65540,65541,65542,65543,131076,131077,131078,131079
1,5,0,65541,65542,65543,65544,131077,131078,131079,131080
1,6,0,65542,65543,65544,65545,131078,131079,131080,131081
2,0,0,131072,131073,131074,131075,196608,196609,196610,196611
2,1,0,131073,131074,131075,131076,196609,196610,196611,196612
2,2,0,131074,131075,131076,131077,196610,196611,196612,196613
2,3,0,131075,131076,131077,131078,196611,196612,196613,196614
2,4,0,131076,131077,131078,131079,196612,196613,196614,196615
2,5,0,131077,131078,131079,131080,196613,196614,196615,196616
2,6,0,131078,131079,131080,131081,196614,196615,196616,196617
3,0,0,196608,196609,196610,196611,262144,262145,262146,262147
3,1,0,196609,196610,196611,196612,262145,262146,262147,262148
3,2,0,196610,196611,196612,196613,262146,262147,262148,262149
3,3,0,196611,196612,196613,196614,262147,262148,262149,262150
3,4,0,196612,196613,196614,196615,262148,262149,262150,262151
3,5,0,196613,196614,196615,196616,262149,262150,262151,262152
3,6,0,196614,196615,196616,196617,262150,262151,262152,262153
4,0,0,262144,262145,262146,262147,327680,327681,327682,327683
4,1,0,262145,262146,262147,262148,327681,327682,327683,327684
4,2,0,262146,262147,262148,262149,327682,327683,327684,327685
4,3,0,262147,262148,262149,262150,327683,327684,327685,327686
4,4,0,262148,262149,262150,262151,327684,327685,327686,327687
4,5,0,262149,262150,262151,262152,327685,327686,327687,327688
4,6,0,262150,262151,262152,262153,327686,327687,327688,327689
5,0,0,327680,327681,327682,327683,393216,393217,393218,393219
5,1,0,327681,327682,327683,327684,393217,393218,393219,393220
5,2,0,327682,327683,327684,327685,393218,393219,393220,393221
5,3,0,327683,327684,327685,327686,393219,393220,393221,393222
5,4,0,327684,327685,327686,327687,393220,393221,393222,393223
5,5,0,327685,327686,327687,327688,393221,393222,393223,393224
5,6,0,327686,327687,327688,327689,393222,393223,393224,393225
6,0,0,393216,393217,393218,393219,458752,458753,458754,458755
6,1,0,393217,393218,393219,393220,458753,458754,458755,458756
6,2,0,393218,393219,393220,393221,458754,458755,458756,458757
6,3,0,393219,393220,393221,393222,458755,458756,458757,458758
6,4,0,393220,393221,393222,393223,458756,458757,458758,458759
6,5,0,393221,393222,393223,393224,458757,458758,458759,458760
6,6,0,393222,393223,393224,393225,458758,458759,458760,458761
7,0,0,458752,458753,458754,458755,524288,524289,524290,524291
7,1,0,458753,458754,458755,458756,524289,524290,524291,524292
7,2,0,458754,458755,458756,458757,524290,524291,524292,524293
7,3,0,458755,458756,458757,458758,524291,524292,524293,524294
7,4,0,458756,458757,458758,458759,524292,524293,524294,524295
7,5,0,458757,458758,458759,458760,524293,524294,524295,524296
7,6,0,458758,458759,458760,458761,524294,524295,524296,524297
8,0,0,524288,524289,524290,524291,589824,589825,589826,589827
8,1,0,524289,524290,524291,524292,589825,589826,589827,589828
8,2,0,524290,524291,524292,524293,589826,589827,589828,589829
8,3,0,524291,524292,524293,524294,589827,589828,589829,589830
8,4,0,524292,524293,524294,524295,589828,589829,589830,589831
8,5,0,524293,524294,524295,524296,589829,589830,589831,589832
8,6,0,524294,524295,524296,524297,589830,589831,589832,589833
