select0_0,select0_1,select0_2,select0_3,select1_0,select1_1,select1_2,select1_3,input_0_0,input_0_1,input_0_2,input_0_3,input_1_0,input_1_1,input_1_2,input_1_3,o_0_0,o_0_1,o_0_2,o_0_3,o_1_0,o_1_1,o_1_2,o_1_3
0,1,2,3,4,5,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,3,4,5,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,2,3,4,5,6,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,0,1,2,7,4,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,0,1,2,7,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
3,0,1,2,7,4,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
2,3,0,1,6,7,4,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2,3,0,1,6,7,4,5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
2,3,0,1,6,7,4,5,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
1,2,3,0,5,6,7,4,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
1,2,3,0,5,6,7,4,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
1,2,3,0,5,6,7,4,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
0,1,2,3,4,5,6,7,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
0,1,2,3,4,5,6,7,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
0,1,2,3,4,5,6,7,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
0,1,2,3,4,5,6,7,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
0,1,2,3,4,5,6,7,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
0,1,2,3,4,5,6,7,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
0,1,2,3,4,5,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,2,7,4,5,6,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
2,3,0,1,6,7,4,5,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0
1,2,3,0,5,6,7,4,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0
0,1,2,3,4,5,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,0,1,2,7,4,5,6,1,1,1,2,1,1,1,2,2,1,1,1,2,1,1,1
2,3,0,1,6,7,4,5,1,1,2,2,1,1,2,2,2,2,1,1,2,2,1,1
7,4,5,6,0,1,2,3,0,0,0,0,5,5,5,5,5,5,5,5,0,0,0,0
6,7,4,5,3,0,1,2,0,0,0,1,5,5,5,6,5,6,5,5,1,0,0,0
5,6,7,4,2,3,0,1,0,0,1,1,5,5,6,6,5,6,6,5,1,1,0,0
4,5,6,7,1,2,3,0,0,1,1,1,5,6,6,6,5,6,6,6,1,1,1,0
7,4,5,6,0,1,2,3,1,1,1,1,6,6,6,6,6,6,6,6,1,1,1,1
6,7,4,5,3,0,1,2,1,1,1,2,6,6,6,7,6,7,6,6,2,1,1,1
5,6,7,4,2,3,0,1,1,1,2,2,6,6,7,7,6,7,7,6,2,2,1,1
3,0,1,2,7,4,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,3,0,1,6,7,4,5,5,5,5,6,5,5,5,6,5,6,5,5,5,6,5,5
1,2,3,0,5,6,7,4,5,5,6,6,5,5,6,6,5,6,6,5,5,6,6,5
0,1,2,3,4,5,6,7,5,6,6,6,5,6,6,6,5,6,6,6,5,6,6,6
3,0,1,2,7,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2,3,0,1,6,7,4,5,6,6,6,7,6,6,6,7,6,7,6,6,6,7,6,6
1,2,3,0,5,6,7,4,6,6,7,7,6,6,7,7,6,7,7,6,6,7,7,6
6,7,4,5,3,0,1,2,5,5,5,5,10,10,10,10,10,10,10,10,5,5,5,5
5,6,7,4,2,3,0,1,5,5,5,6,10,10,10,11,10,10,11,10,5,6,5,5
4,5,6,7,1,2,3,0,5,5,6,6,10,10,11,11,10,10,11,11,5,6,6,5
7,4,5,6,0,1,2,3,5,6,6,6,10,11,11,11,11,10,11,11,5,6,6,6
6,7,4,5,3,0,1,2,6,6,6,6,11,11,11,11,11,11,11,11,6,6,6,6
5,6,7,4,2,3,0,1,6,6,6,7,11,11,11,12,11,11,12,11,6,7,6,6
4,5,6,7,1,2,3,0,6,6,7,7,11,11,12,12,11,11,12,12,6,7,7,6
2,3,0,1,6,7,4,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
1,2,3,0,5,6,7,4,10,10,10,11,10,10,10,11,10,10,11,10,10,10,11,10
0,1,2,3,4,5,6,7,10,10,11,11,10,10,11,11,10,10,11,11,10,10,11,11
3,0,1,2,7,4,5,6,10,11,11,11,10,11,11,11,11,10,11,11,11,10,11,11
2,3,0,1,6,7,4,5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
1,2,3,0,5,6,7,4,11,11,11,12,11,11,11,12,11,11,12,11,11,11,12,11
0,1,2,3,4,5,6,7,11,11,12,12,11,11,12,12,11,11,12,12,11,11,12,12
5,6,7,4,2,3,0,1,10,10,10,10,15,15,15,15,15,15,15,15,10,10,10,10
4,5,6,7,1,2,3,0,10,10,10,11,15,15,15,16,15,15,15,16,10,10,11,10
7,4,5,6,0,1,2,3,10,10,11,11,15,15,16,16,16,15,15,16,10,10,11,11
6,7,4,5,3,0,1,2,10,11,11,11,15,16,16,16,16,16,15,16,11,10,11,11
5,6,7,4,2,3,0,1,11,11,11,11,16,16,16,16,16,16,16,16,11,11,11,11
4,5,6,7,1,2,3,0,11,11,11,12,16,16,16,17,16,16,16,17,11,11,12,11
7,4,5,6,0,1,2,3,11,11,12,12,16,16,17,17,17,16,16,17,11,11,12,12
1,2,3,0,5,6,7,4,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
0,1,2,3,4,5,6,7,15,15,15,16,15,15,15,16,15,15,15,16,15,15,15,16
3,0,1,2,7,4,5,6,15,15,16,16,15,15,16,16,16,15,15,16,16,15,15,16
2,3,0,1,6,7,4,5,15,16,16,16,15,16,16,16,16,16,15,16,16,16,15,16
1,2,3,0,5,6,7,4,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
0,1,2,3,4,5,6,7,16,16,16,17,16,16,16,17,16,16,16,17,16,16,16,17
3,0,1,2,7,4,5,6,16,16,17,17,16,16,17,17,17,16,16,17,17,16,16,17
4,5,6,7,1,2,3,0,15,15,15,15,20,20,20,20,20,20,20,20,15,15,15,15
7,4,5,6,0,1,2,3,15,15,15,16,20,20,20,21,21,20,20,20,15,15,15,16
6,7,4,5,3,0,1,2,15,15,16,16,20,20,21,21,21,21,20,20,16,15,15,16
5,6,7,4,2,3,0,1,15,16,16,16,20,21,21,21,21,21,21,20,16,16,15,16
4,5,6,7,1,2,3,0,16,16,16,16,21,21,21,21,21,21,21,21,16,16,16,16
7,4,5,6,0,1,2,3,16,16,16,17,21,21,21,22,22,21,21,21,16,16,16,17
6,7,4,5,3,0,1,2,16,16,17,17,21,21,22,22,22,22,21,21,17,16,16,17
0,1,2,3,4,5,6,7,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
3,0,1,2,7,4,5,6,20,20,20,21,20,20,20,21,21,20,20,20,21,20,20,20
2,3,0,1,6,7,4,5,20,20,21,21,20,20,21,21,21,21,20,20,21,21,20,20
1,2,3,0,5,6,7,4,20,21,21,21,20,21,21,21,21,21,21,20,21,21,21,20
0,1,2,3,4,5,6,7,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
3,0,1,2,7,4,5,6,21,21,21,22,21,21,21,22,22,21,21,21,22,21,21,21
2,3,0,1,6,7,4,5,21,21,22,22,21,21,22,22,22,22,21,21,22,22,21,21
0,2,4,6,1,3,5,7,0,0,5,5,10,10,15,15,0,5,10,15,0,5,10,15
6,0,2,4,7,1,3,5,0,0,5,5,10,10,15,15,15,0,5,10,15,0,5,10
4,6,0,2,5,7,1,3,0,0,5,5,10,10,15,15,10,15,0,5,10,15,0,5
2,4,6,0,3,5,7,1,0,0,5,5,10,10,15,15,5,10,15,0,5,10,15,0
0,2,4,6,1,3,5,7,1,1,6,6,11,11,16,16,1,6,11,16,1,6,11,16
6,0,2,4,7,1,3,5,1,1,6,6,11,11,16,16,16,1,6,11,16,1,6,11
4,6,0,2,5,7,1,3,1,1,6,6,11,11,16,16,11,16,1,6,11,16,1,6
2,4,6,0,3,5,7,1,1,1,6,6,11,11,16,16,6,11,16,1,6,11,16,1
0,2,4,6,1,3,5,7,2,2,7,7,12,12,17,17,2,7,12,17,2,7,12,17
6,0,2,4,7,1,3,5,2,2,7,7,12,12,17,17,17,2,7,12,17,2,7,12
7,1,3,5,0,2,4,6,0,5,5,10,10,15,15,20,20,5,10,15,0,5,10,15
5,7,1,3,6,0,2,4,0,5,5,10,10,15,15,20,15,20,5,10,15,0,5,10
3,5,7,1,4,6,0,2,0,5,5,10,10,15,15,20,10,15,20,5,10,15,0,5
1,3,5,7,2,4,6,0,0,5,5,10,10,15,15,20,5,10,15,20,5,10,15,0
7,1,3,5,0,2,4,6,1,6,6,11,11,16,16,21,21,6,11,16,1,6,11,16
5,7,1,3,6,0,2,4,1,6,6,11,11,16,16,21,16,21,6,11,16,1,6,11
3,5,7,1,4,6,0,2,1,6,6,11,11,16,16,21,11,16,21,6,11,16,1,6
1,3,5,7,2,4,6,0,1,6,6,11,11,16,16,21,6,11,16,21,6,11,16,1
7,1,3,5,0,2,4,6,2,7,7,12,12,17,17,22,22,7,12,17,2,7,12,17
5,7,1,3,6,0,2,4,2,7,7,12,12,17,17,22,17,22,7,12,17,2,7,12
6,0,2,4,7,1,3,5,5,5,10,10,15,15,20,20,20,5,10,15,20,5,10,15
4,6,0,2,5,7,1,3,5,5,10,10,15,15,20,20,15,20,5,10,15,20,5,10
2,4,6,0,3,5,7,1,5,5,10,10,15,15,20,20,10,15,20,5,10,15,20,5
0,2,4,6,1,3,5,7,5,5,10,10,15,15,20,20,5,10,15,20,5,10,15,20
6,0,2,4,7,1,3,5,6,6,11,11,16,16,21,21,21,6,11,16,21,6,11,16
4,6,0,2,5,7,1,3,6,6,11,11,16,16,21,21,16,21,6,11,16,21,6,11
2,4,6,0,3,5,7,1,6,6,11,11,16,16,21,21,11,16,21,6,11,16,21,6
0,2,4,6,1,3,5,7,6,6,11,11,16,16,21,21,6,11,16,21,6,11,16,21
6,0,2,4,7,1,3,5,7,7,12,12,17,17,22,22,22,7,12,17,22,7,12,17
4,6,0,2,5,7,1,3,7,7,12,12,17,17,22,22,17,22,7,12,17,22,7,12
0,6,4,2,3,1,7,5,0,0,5,5,11,11,16,16,0,16,11,5,5,0,16,11
2,0,6,4,5,3,1,7,0,0,5,6,11,11,16,17,5,0,16,11,11,6,0,17
4,2,0,6,7,5,3,1,0,0,6,6,11,11,17,17,11,6,0,17,17,11,6,0
5,3,1,7,0,6,4,2,0,5,5,10,11,16,16,21,16,10,5,21,0,16,11,5
7,5,3,1,2,0,6,4,0,5,5,11,11,16,16,22,22,16,11,5,5,0,16,11
1,7,5,3,4,2,0,6,0,5,6,11,11,16,17,22,5,22,16,11,11,6,0,17
2,0,6,4,5,3,1,7,5,5,10,10,16,16,21,21,10,5,21,16,16,10,5,21
4,2,0,6,7,5,3,1,5,5,10,11,16,16,21,22,16,10,5,21,22,16,11,5
6,4,2,0,1,7,5,3,5,5,11,11,16,16,22,22,22,16,11,5,5,22,16,11
6,4,2,0,5,3,1,7,1,1,6,6,10,10,15,15,15,10,6,1,10,6,1,15
0,6,4,2,7,5,3,1,2,1,6,6,11,10,15,15,2,15,11,6,15,10,6,1
2,0,6,4,1,7,5,3,2,2,6,6,11,11,15,15,6,2,15,11,2,15,11,6
7,5,3,1,6,4,2,0,1,6,6,11,10,15,15,20,20,15,11,6,15,10,6,1
1,7,5,3,0,6,4,2,2,6,6,11,11,15,15,20,6,20,15,11,2,15,11,6
3,1,7,5,2,0,6,4,2,7,6,11,11,16,15,20,11,7,20,16,6,2,15,11
0,6,4,2,7,5,3,1,6,6,11,11,15,15,20,20,6,20,15,11,20,15,11,6
2,0,6,4,1,7,5,3,7,6,11,11,16,15,20,20,11,7,20,16,6,20,15,11
4,2,0,6,3,1,7,5,7,7,11,11,16,16,20,20,16,11,7,20,11,7,20,16
