select0_0,select0_1,select0_2,select0_3,select1_0,select1_1,select1_2,select1_3,input_0_0,input_0_1,input_0_2,input_0_3,input_1_0,input_1_1,input_1_2,input_1_3,o_0_0,o_0_1,o_0_2,o_0_3,o_1_0,o_1_1,o_1_2,o_1_3
0,1,2,3,4,5,6,7,0,1,2,3,10,11,12,13,0,1,2,3,10,11,12,13
0,1,2,3,4,5,6,7,4,5,6,7,14,15,16,17,4,5,6,7,14,15,16,17
0,1,2,3,4,5,6,7,8,9,10,11,18,19,20,21,8,9,10,11,18,19,20,21
3,0,1,2,7,4,5,6,20,21,22,23,30,31,32,33,23,20,21,22,33,30,31,32
3,0,1,2,7,4,5,6,24,25,26,27,34,35,36,37,27,24,25,26,37,34,35,36
3,0,1,2,7,4,5,6,28,29,30,31,38,39,40,41,31,28,29,30,41,38,39,40
2,3,0,1,6,7,4,5,40,41,42,43,50,51,52,53,42,43,40,41,52,53,50,51
2,3,0,1,6,7,4,5,44,45,46,47,54,55,56,57,46,47,44,45,56,57,54,55
2,3,0,1,6,7,4,5,48,49,50,51,58,59,60,61,50,51,48,49,60,61,58,59
1,2,3,0,5,6,7,4,60,61,62,63,70,71,72,73,61,62,63,60,71,72,73,70
1,2,3,0,5,6,7,4,64,65,66,67,74,75,76,77,65,66,67,64,75,76,77,74
1,2,3,0,5,6,7,4,68,69,70,71,78,79,80,81,69,70,71,68,79,80,81,78
0,1,2,3,4,5,6,7,80,81,82,83,90,91,92,93,80,81,82,83,90,91,92,93
0,1,2,3,4,5,6,7,84,85,86,87,94,95,96,97,84,85,86,87,94,95,96,97
0,1,2,3,4,5,6,7,88,89,90,91,98,99,0,0,88,89,90,91,98,99,0,0
0,1,2,3,4,5,6,7,80,81,82,83,90,91,92,93,80,81,82,83,90,91,92,93
0,1,2,3,4,5,6,7,84,85,86,87,94,95,96,97,84,85,86,87,94,95,96,97
0,1,2,3,4,5,6,7,88,89,90,91,98,99,0,0,88,89,90,91,98,99,0,0
0,1,2,3,4,5,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,2,7,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,1,6,7,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,0,5,6,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,3,4,5,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,2,7,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,1,6,7,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4,5,6,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,4,5,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,7,4,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,6,7,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4,5,6,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,4,5,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,7,4,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,2,7,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,1,6,7,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,0,5,6,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,3,4,5,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,2,7,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,1,6,7,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,0,5,6,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,4,5,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,7,4,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,6,7,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4,5,6,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,4,5,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
